Step,Action1,Action2,Action3,Value1,Value2,Value3,Reward,Terminated
47.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
48.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
49.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
50.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
51.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
52.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
53.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
54.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
55.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
56.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
57.0,2.0,2.0,0.0,0.1,0.05,0.02,-0.5,1.0
58.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
59.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
60.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
61.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
62.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
63.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
64.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
65.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
66.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
67.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
68.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
69.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
70.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
71.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
72.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
73.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
74.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
75.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
76.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
77.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
78.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
79.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
80.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
81.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
82.0,2.0,0.0,1.0,0.28,0.24,0.22,1.5,1.0
83.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
84.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
85.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
86.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
87.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
88.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
89.0,1.0,2.0,1.0,0.08,0.02,0.11,0.5,1.0
90.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
91.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
92.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
93.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
94.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
95.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
96.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
97.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
98.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
99.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
100.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,0.0
101.0,2.0,3.0,0.0,0.08,0.14,0.12,0.5,0.0
102.0,2.0,3.0,0.0,0.41,0.21,0.27,0.5,0.0
103.0,1.0,3.0,3.0,0.11,0.08,0.14,0.5,1.0
104.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
105.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
106.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
107.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
108.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
109.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
110.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
111.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
112.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
113.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
114.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
115.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
116.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
117.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
118.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
119.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
120.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
121.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
122.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
123.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
124.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
125.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
126.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
127.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
128.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
129.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
130.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
131.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
132.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
133.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
134.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
135.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
136.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
137.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
138.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
139.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
140.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
141.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
142.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
143.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
144.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
145.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
146.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
147.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
148.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
149.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
150.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
151.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
152.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
153.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
154.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
155.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
156.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
157.0,2.0,0.0,0.0,0.31,0.25,0.32,-0.5,1.0
158.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
159.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
160.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
161.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
162.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
163.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
164.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
165.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
166.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
167.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
168.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
169.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
170.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
171.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
172.0,2.0,2.0,0.0,0.1,0.05,0.02,-0.5,1.0
173.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
174.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
175.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
176.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
177.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
178.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
179.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
180.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
181.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
182.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
183.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
184.0,1.0,2.0,1.0,0.08,0.02,0.11,0.5,1.0
185.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
186.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
187.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
188.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
189.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
190.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
191.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
192.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
193.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
194.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
195.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
196.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
197.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
198.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
199.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
200.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
201.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
202.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
203.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
204.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
205.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
206.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
207.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
208.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
209.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
210.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
211.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
212.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
213.0,1.0,3.0,1.0,0.22,0.13,0.2,0.5,1.0
214.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
215.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
216.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
217.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
218.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
219.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
220.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
221.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
222.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
223.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
224.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
225.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
226.0,2.0,2.0,0.0,0.1,0.05,0.02,-0.5,1.0
227.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
228.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
229.0,1.0,3.0,3.0,0.11,0.08,0.14,0.5,0.0
230.0,2.0,0.0,0.0,0.47,0.29,0.34,0.5,1.0
231.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
232.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
233.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
234.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
235.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
236.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
237.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
238.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
239.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
240.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
241.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
242.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
243.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
244.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
245.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
246.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
247.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
248.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
249.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
250.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
251.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
252.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
253.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
254.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
255.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
256.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
257.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
258.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
259.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
260.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
261.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
262.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
263.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
264.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
265.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
266.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
267.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
268.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
269.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
270.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
271.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
272.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
273.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
274.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
275.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
276.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
277.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
278.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
279.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
280.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
281.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
282.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
283.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
284.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
285.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
286.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
287.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
288.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
289.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
290.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
291.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
292.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
293.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
294.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
295.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
296.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
297.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
298.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
299.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
300.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
301.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
302.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
303.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
304.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
305.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
306.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
307.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
308.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
309.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
310.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
311.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,0.0
312.0,2.0,3.0,0.0,0.08,0.14,0.12,0.5,1.0
313.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
314.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
315.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
316.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
317.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
318.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
319.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
320.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
321.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
322.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
323.0,2.0,0.0,0.0,0.31,0.25,0.32,-0.5,1.0
324.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
325.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
326.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
327.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
328.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
329.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
330.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
331.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
332.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
333.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
334.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
335.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,0.0
336.0,2.0,3.0,0.0,0.08,0.14,0.12,0.5,0.0
337.0,1.0,3.0,0.0,0.34,0.48,0.44,1.5,1.0
338.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
339.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
340.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
341.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
342.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
343.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
344.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
345.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
346.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
347.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
348.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
349.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
350.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
351.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
352.0,1.0,2.0,1.0,0.08,0.02,0.11,0.5,1.0
353.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
354.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
355.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
356.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
357.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
358.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
359.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
360.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
361.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,1.0
362.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
363.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,0.0
364.0,3.0,0.0,1.0,0.12,0.15,0.16,0.5,1.0
365.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
366.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
367.0,2.0,2.0,0.0,0.61,0.58,0.59,1.5,0.0
368.0,2.0,0.0,1.0,0.28,0.24,0.22,0.5,1.0
369.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
370.0,2.0,2.0,0.0,0.61,0.58,0.59,-0.5,1.0
371.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
372.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
373.0,1.0,2.0,2.0,0.23,0.27,0.26,-0.5,1.0
374.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
375.0,1.0,2.0,2.0,0.23,0.27,0.26,0.5,1.0
376.0,2.0,3.0,0.0,0.12,0.14,0.14,0.5,1.0
377.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
378.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
379.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
380.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
381.0,2.0,2.0,0.0,0.61,0.58,0.59,0.5,1.0
382.0,2.0,3.0,0.0,0.12,0.14,0.14,-0.5,1.0
